round,variable,value,name,iso_alpha3,iso_alpha2
1,country,1,Botswana,BWA,BW
1,country,2,Ghana,GHA,GH
1,country,3,Lesotho,LSO,LS
1,country,4,Malawi,MWI,MW
1,country,5,Mali,MLI,ML
1,country,6,Namibia,NAM,NA
1,country,7,Nigeria,NGA,NG
1,country,8,South Africa,ZAF,ZA
1,country,9,Tanzania,TZA,TZ
1,country,10,Uganda,UGA,UG
1,country,11,Zambia,ZMB,ZM
1,country,12,Zimbabwe,ZWE,ZW
2,country,1,Botswana,BWA,BW
2,country,2,Ghana,GHA,GH
2,country,3,Lesotho,LSO,LS
2,country,4,Malawi,MWI,MW
2,country,5,Mali,MLI,ML
2,country,6,Namibia,NAM,NA
2,country,7,Nigeria,NGA,NG
2,country,8,South Africa,ZAF,ZA
2,country,9,Tanzania,TZA,TZ
2,country,10,Uganda,UGA,UG
2,country,11,Zambia,ZMB,ZM
2,country,12,Zimbabwe,ZWE,ZW
2,country,13,Cape Verde,CPV,CV
2,country,14,Kenya,KEN,KE
2,country,15,Mozambique,MOZ,MZ
2,country,16,Senegal,SEN,SN
3,country,1,Benin,BEN,BJ
3,country,2,Botswana,BWA,BW
3,country,3,Cape Verde,CPV,CV
3,country,4,Ghana,GHA,GH
3,country,5,Kenya,KEN,KE
3,country,6,Lesotho,LSO,LS
3,country,7,Madagascar,MDG,MG
3,country,8,Malawi,MWI,MW
3,country,9,Mali,MLI,ML
3,country,10,Mozambique,MOZ,MZ
3,country,11,Namibia,NAM,NA
3,country,12,Nigeria,NGA,NG
3,country,13,Senegal,SEN,SN
3,country,14,South Africa,ZAF,ZA
3,country,15,Tanzania,TZA,TZ
3,country,16,Uganda,UGA,UG
3,country,17,Zambia,ZMB,ZM
3,country,18,Zimbabwe,ZWE,ZW
4,COUNTRY,1,Benin,BEN,BJ
4,COUNTRY,2,Botswana,BWA,BW
4,COUNTRY,3,Burkina Faso,BFA,BF
4,COUNTRY,4,Cape Verde,CPV,CV
4,COUNTRY,5,Ghana,GHA,GH
4,COUNTRY,6,Kenya,KEN,KE
4,COUNTRY,7,Lesotho,LSO,LS
4,COUNTRY,8,Liberia,LBR,LR
4,COUNTRY,9,Madagascar,MDG,MG
4,COUNTRY,10,Malawi,MWI,MW
4,COUNTRY,11,Mali,MLI,ML
4,COUNTRY,12,Mozambique,MOZ,MZ
4,COUNTRY,13,Namibia,NAM,NA
4,COUNTRY,14,Nigeria,NGA,NG
4,COUNTRY,15,Senegal,SEN,SN
4,COUNTRY,16,South Africa,ZAF,ZA
4,COUNTRY,17,Tanzania,TZA,TZ
4,COUNTRY,18,Uganda,UGA,UG
4,COUNTRY,19,Zambia,ZMB,ZM
4,COUNTRY,20,Zimbabwe,ZWE,ZW
5,COUNTRY,1,Benin,BEN,BJ
5,COUNTRY,2,Botswana,BWA,BW
5,COUNTRY,3,Burkina Faso,BFA,BF
5,COUNTRY,4,Cape Verde,CPV,CV
5,COUNTRY,5,Ghana,GHA,GH
5,COUNTRY,6,Kenya,KEN,KE
5,COUNTRY,7,Lesotho,LSO,LS
5,COUNTRY,8,Liberia,LBR,LR
5,COUNTRY,9,Madagascar,MDG,MG
5,COUNTRY,10,Malawi,MWI,MW
5,COUNTRY,11,Mali,MLI,ML
5,COUNTRY,12,Mozambique,MOZ,MZ
5,COUNTRY,13,Namibia,NAM,NA
5,COUNTRY,14,Nigeria,NGA,NG
5,COUNTRY,15,Senegal,SEN,SN
5,COUNTRY,16,South Africa,ZAF,ZA
5,COUNTRY,17,Tanzania,TZA,TZ
5,COUNTRY,18,Uganda,UGA,UG
5,COUNTRY,19,Zambia,ZMB,ZM
5,COUNTRY,20,Zimbabwe,ZWE,ZW
5,COUNTRY,21,Mauritius,MUS,MU
5,COUNTRY,22,Sierra Leone,SLE,SL
5,COUNTRY,23,Niger,NER,NE
5,COUNTRY,24,Togo,TGO,TG
5,COUNTRY,25,Burundi,BDI,BI
5,COUNTRY,26,Cameroon,CMR,CM
5,COUNTRY,27,Cote d’Ivoire,CIV,CI
5,COUNTRY,28,Guinea,GIN,GN
5,COUNTRY,29,Ethiopia,ETH,ET
5,COUNTRY,30,Swaziland,SWZ,SZ
5,COUNTRY,31,Algeria,DZA,DZ
5,COUNTRY,32,Egypt,EGY,EG
5,COUNTRY,33,Morocco,MAR,MA
5,COUNTRY,34,Sudan,SDN,SD
5,COUNTRY,35,Tunisia,TUN,TN
6,COUNTRY,1,Algeria,DZA,DZ
6,COUNTRY,2,Benin,BEN,BJ
6,COUNTRY,3,Botswana,BWA,BW
6,COUNTRY,4,Burkina Faso,BFA,BF
6,COUNTRY,5,Burundi,BDI,BI
6,COUNTRY,6,Cameroon,CMR,CM
6,COUNTRY,7,Cape Verde,CPV,CV
6,COUNTRY,8,Cote d'Ivoire,CIV,CI
6,COUNTRY,9,Egypt,EGY,EG
6,COUNTRY,10,Gabon,GAB,GA
6,COUNTRY,11,Ghana,GHA,GH
6,COUNTRY,12,Guinea,GIN,GN
6,COUNTRY,13,Kenya,KEN,KE
6,COUNTRY,14,Lesotho,LSO,LS
6,COUNTRY,15,Liberia,LBR,LR
6,COUNTRY,16,Madagascar,MDG,MG
6,COUNTRY,17,Malawi,MWI,MW
6,COUNTRY,18,Mali,MLI,ML
6,COUNTRY,19,Mauritius,MUS,MU
6,COUNTRY,20,Morocco,MAR,MA
6,COUNTRY,21,Mozambique,MOZ,MZ
6,COUNTRY,22,Namibia,NAM,NA
6,COUNTRY,23,Niger,NER,NE
6,COUNTRY,24,Nigeria,NGA,NG
6,COUNTRY,25,São Tomé and Príncipe,STP,ST
6,COUNTRY,26,Senegal,SEN,SN
6,COUNTRY,27,Sierra Leone,SLE,SL
6,COUNTRY,28,South Africa,ZAF,ZA
6,COUNTRY,29,Sudan,SDN,SD
6,COUNTRY,30,Swaziland,SWZ,SZ
6,COUNTRY,31,Tanzania,TZA,TZ
6,COUNTRY,32,Togo,TGO,TG
6,COUNTRY,33,Tunisia,TUN,TN
6,COUNTRY,34,Uganda,UGA,UG
6,COUNTRY,35,Zambia,ZMB,ZM
6,COUNTRY,36,Zimbabwe,ZWE,ZW
