round,variable,lang_id,iso_alpha2,wals_code
6,Q2,1105,NE,grm
6,Q2,936,SL,fgu
6,Q2,830,ZM,lbu
6,Q2,793,UG,luy
6,Q2,462,MW,lmb
5,Q116,5,SD,abb
5,Q2,5,SD,abb
6,Q116,1540,SD,abb
6,Q2,1540,SD,abb
5,Q116,5,DZ,atu
5,Q2,5,DZ,atu
6,Q116,5,DZ,atu
6,Q2,1420,DZ,atu
5,Q116,5,DZ,amr
5,Q2,5,DZ,amr
6,Q116,5,DZ,amr
6,Q2,1420,DZ,amr
3,q3,218,KE,arg
5,Q2,5,KE,arg
2,q83,283,ZW,toz
3,q3,444,ZW,toz
4,Q3,864,ZW,toz
6,Q2,33,ZW,toz
5,Q2,793,UG,luy
5,Q116,793,UG,luy
4,Q3,793,UG,luy
6,Q116,220,CV,ago
6,Q103,220,CV,ago
5,Q2,220,CV,ago
5,Q116,220,CV,ago
5,Q103,220,CV,ago
6,Q2,220,CV,ago
4,Q3,220,CV,ago
4,Q114,220,CV,ago
4,Q103,220,CV,ago
3,q3,165,CV,ago
3,q114,165,CV,ago
3,q103,165,CV,ago
2,q97,50,CV,ago
2,q83,50,CV,ago
2,q110,50,CV,ago
6,Q2,220,CV,gbc
6,Q103,220,CV,gbc
5,Q2,220,CV,gbc
5,Q103,220,CV,gbc
4,Q3,220,CV,gbc
4,Q114,220,CV,gbc
4,Q103,220,CV,gbc
3,q3,165,CV,gbc
3,q114,165,CV,gbc
3,q103,165,CV,gbc
6,Q116,220,CV,gbc
5,Q116,220,CV,gbc
2,q97,50,CV,gbc
2,q83,50,CV,gbc
2,q110,50,CV,gbc
6,Q2,220,CV,pri
6,Q116,220,CV,pri
6,Q103,220,CV,pri
5,Q2,220,CV,pri
5,Q103,220,CV,pri
4,Q3,220,CV,pri
4,Q103,220,CV,pri
3,q3,165,CV,pri
3,q114,165,CV,pri
3,q103,165,CV,pri
2,q97,50,CV,pri
2,q83,50,CV,pri
5,Q116,220,CV,pri
2,q110,50,CV,pri
4,Q114,220,CV,pri
6,Q2,396,LR,npi
6,Q103,380,LR,npi
5,Q103,396,LR,npi
4,Q3,396,LR,npi
4,Q114,396,LR,npi
4,Q103,396,LR,npi
5,Q2,396,LR,npi
5,Q2,1221,CM,npi
6,Q2,1221,CM,npi
5,Q103,1221,CM,npi
6,Q103,1221,CM,npi
6,Q2,930,SL,npi
6,Q116,930,SL,npi
6,Q103,930,SL,npi
5,Q2,930,SL,npi
5,Q103,930,SL,npi
5,Q116,930,SL,npi
