iso_alpha2,east,west,north,south,languages,longitude,latitude
BW,29.360781,19.999535,-17.780813,-26.907246,"en-BW,tn-BW",24.680157999999995,-22.41893727530922
GH,1.191781,-3.25542,11.173301,4.736723,"en-GH,ak,ee,tw",-1.0318195,7.967659272484232
LS,29.4557099420001,27.011229998,-28.5708,-30.6755750029999,"en-LS,st,zu,xh",28.23346997000003,-29.628684043558284
MW,35.916821,32.67395,-9.367541,-17.125,"ny,yao,tum,swk",34.29538550000001,-13.277236890856472
ML,4.244968,-12.242614,25.000002,10.159513,"fr-ML,bm",-3.9988230000000002,17.733127294082674
NA,25.256701,11.71563,-16.959894,-28.97143,"en-NA,af,de,hz,naq",18.4861655,-23.099728620945154
NG,14.680073,2.668432,13.892007,4.277144,"en-NG,ha,yo,ig,ff",8.674252499999998,9.116920847949633
ZA,32.944984945,16.45189,-22.1250300579999,-34.8341700029999,"zu,xh,af,nso,en-ZA,tn,st,ts,ss,ve,nr",24.6984374725,-28.67192825137075
TZ,40.443222,29.327168,-0.990736,-11.745696,"sw-TZ,en,ar",34.885195,-6.396484477240257
UG,35.0010535324228,29.573465338129,4.23136926690327,-1.48153052848838,"en-UG,lg,sw,ar",32.2872594352759,1.3766301276945743
ZM,33.705704,21.999371,-8.22436,-18.079473,"en-ZM,bem,loz,lun,lue,ny,toi",27.852537499999997,-13.20158537961069
ZW,33.056305,25.237028,-15.608835,-22.417738,"en-ZW,sn,nr,nd",29.146666499999984,-19.048194546044925
CV,-22.669443,-25.358747,17.197178,14.808022,pt-CV,-24.014095000000008,16.00617215059228
KE,41.899078,33.908859,5.019938,-4.678047,"en-KE,sw-KE",37.903968500000005,0.17155952302160354
MZ,40.842995,30.217319,-10.471883,-26.868685,"pt-MZ,vmw",35.530157,-18.870304921168316
SN,-11.355887,-17.535236,16.691633,12.307275,"fr-SN,wo,fuc,mnk",-14.445561499999998,14.510306155051202
BJ,3.851701,0.774575,12.418347,6.225748,fr-BJ,2.313138,9.335797898427248
MG,50.48378,43.224876,-11.945433,-25.608952,"fr-MG,mg",46.854328,-18.916550066030428
BF,2.405395,-5.518916,15.082593,9.401108,"fr-BF,mos",-1.5567604999999998,12.25714633269074
LR,-7.365113,-11.492083,8.551791,4.353057,en-LR,-9.428597999999997,6.456776218168449
MU,63.500179,56.512718,-10.319255,-20.525717,"en-MU,bho,fr",60.00644850000003,-15.4853993916646
SL,-10.284238,-13.307631,10,6.929611,"en-SL,men,tem",-11.795934499999998,8.467867295135115
NE,15.995643,0.16625,23.525026,11.696975,"fr-NE,ha,kr,dje",8.0809465,17.708344930222385
TG,1.806693,-0.147324,11.138977,6.104417,"fr-TG,ee,hna,kbp,dag,ha",0.8296845,8.630088318097872
BI,30.847729,28.993061,-2.310123,-4.465713,"fr-BI,rn",29.92039500000005,-3.3885182065062254
CM,16.192116,8.494763,13.078056,1.652548,"en-CM,fr-CM",12.343439500000002,7.402270213684794
CI,-2.494897,-8.599302,10.736642,4.357067,fr-CI,-5.5470995,7.558633357064376
GN,-7.641071,-14.926619,12.67622,7.193553,fr-GN,-11.283845,9.946384354369203
ET,47.986179,32.999939,14.89375,3.402422,"am,en-ET,om-ET,ti-ET,so-ET,sid",40.493058999999995,9.194676764711783
SZ,32.13726,30.794107,-25.719648,-27.317101,"en-SZ,ss-SZ",31.465683499999866,-26.521152734730503
DZ,11.979548,-8.673868,37.093723,18.960028,ar-DZ,1.6528399999999994,28.413477172905697
EG,36.8983306884766,24.698111,31.667334,21.725389,"ar-EG,en,fr",30.798220844238287,26.80519334589896
MA,-0.991750000000025,-13.168586,35.9224966985384,27.662115,"ar-MA,ber,fr",-7.080168000000013,31.88482386883393
SD,38.6074981689453,21.8277740478516,22.2322196960449,8.68472099304199,"ar-SD,en,fia",30.217636108398445,15.569880137021407
TN,11.598278,7.524833,37.543915,30.240417,"ar-TN,fr",9.561555499999994,33.97051031568068
GA,14.502347,8.695471,2.322612,-3.978806,fr-GA,11.598908999999999,-0.8293507194810213
ST,7.466374,6.47017,1.701323,0.024766,pt-ST,6.9682720000000025,0.8631368860020726
